iter	Passed	Remaining
0	19	19365
1	38	19355
2	60	20080
3	87	21697
4	118	23628
5	143	23720
6	162	23064
7	182	22653
8	201	22173
9	222	22075
10	243	21927
11	262	21620
12	284	21618
13	304	21410
14	323	21252
15	342	21051
16	360	20856
17	379	20707
18	400	20668
19	419	20562
20	438	20443
21	456	20275
22	476	20221
23	494	20119
24	512	19978
25	532	19958
26	551	19877
27	572	19874
28	590	19764
29	608	19681
30	627	19604
31	647	19596
32	666	19518
33	685	19465
34	703	19390
35	720	19305
36	739	19259
37	759	19225
38	779	19195
39	798	19154
40	815	19079
41	833	19013
42	853	18993
43	872	18949
44	889	18884
45	906	18809
46	923	18733
47	944	18734
48	962	18679
49	980	18635
50	999	18595
51	1017	18558
52	1035	18504
53	1053	18454
54	1071	18416
55	1091	18407
56	1109	18354
57	1126	18302
58	1145	18263
59	1164	18237
60	1181	18191
61	1200	18166
62	1221	18174
63	1241	18154
64	1260	18132
65	1281	18130
66	1299	18094
67	1316	18046
68	1332	17982
69	1351	17955
70	1372	17955
71	1390	17918
72	1410	17906
73	1426	17853
74	1446	17838
75	1464	17805
76	1482	17771
77	1503	17768
78	1520	17726
79	1539	17705
80	1561	17719
81	1581	17707
82	1600	17686
83	1616	17631
84	1632	17578
85	1648	17518
86	1664	17472
87	1682	17440
88	1698	17384
89	1713	17322
90	1729	17276
91	1744	17220
92	1760	17169
93	1775	17110
94	1792	17072
95	1809	17037
96	1826	17006
97	1841	16948
98	1860	16928
99	1876	16892
100	1896	16884
101	1914	16855
102	1932	16831
103	1950	16802
104	1969	16791
105	1988	16772
106	2007	16750
107	2025	16725
108	2044	16710
109	2060	16673
110	2078	16650
111	2094	16606
112	2110	16568
113	2127	16536
114	2148	16534
115	2165	16500
116	2185	16494
117	2207	16502
118	2225	16478
119	2247	16480
120	2266	16461
121	2286	16454
122	2307	16451
123	2324	16422
124	2342	16396
125	2360	16375
126	2378	16349
127	2398	16342
128	2421	16347
129	2440	16333
130	2460	16321
131	2482	16327
132	2509	16361
133	2535	16384
134	2562	16421
135	2591	16465
136	2615	16475
137	2642	16506
138	2667	16524
139	2691	16533
140	2719	16568
141	2740	16558
142	2763	16562
143	2788	16578
144	2812	16581
145	2841	16619
146	2870	16656
147	2894	16662
148	2922	16689
149	2945	16692
150	2972	16715
151	2991	16690
152	3014	16688
153	3036	16680
154	3058	16675
155	3075	16641
156	3092	16606
157	3112	16588
158	3131	16563
159	3151	16547
160	3169	16516
161	3188	16492
162	3206	16467
163	3224	16436
164	3244	16418
165	3263	16395
166	3283	16379
167	3301	16351
168	3319	16323
169	3337	16296
170	3356	16272
171	3375	16250
172	3396	16234
173	3414	16211
174	3434	16192
175	3456	16183
176	3476	16162
177	3494	16138
178	3512	16111
179	3533	16096
180	3551	16070
181	3568	16038
182	3584	16002
183	3599	15965
184	3616	15933
185	3632	15897
186	3648	15861
187	3665	15829
188	3680	15793
189	3696	15757
190	3711	15720
191	3727	15686
192	3742	15647
193	3758	15614
194	3775	15584
195	3791	15552
196	3806	15515
197	3821	15477
198	3836	15442
199	3853	15414
200	3870	15386
201	3889	15363
202	3908	15345
203	3926	15321
204	3945	15301
205	3966	15287
206	3985	15267
207	4003	15245
208	4023	15226
209	4042	15206
210	4061	15186
211	4077	15156
212	4094	15127
213	4114	15113
214	4132	15089
215	4151	15069
216	4172	15054
217	4192	15039
218	4208	15010
219	4225	14980
220	4245	14963
221	4263	14941
222	4284	14927
223	4302	14906
224	4319	14879
225	4338	14858
226	4357	14837
227	4377	14821
228	4393	14792
229	4410	14767
230	4428	14741
231	4444	14714
232	4464	14695
233	4480	14666
234	4500	14649
235	4520	14635
236	4547	14641
237	4566	14621
238	4585	14601
239	4607	14591
240	4626	14569
241	4645	14549
242	4663	14528
243	4681	14506
244	4700	14483
245	4719	14465
246	4740	14450
247	4758	14427
248	4775	14402
249	4794	14383
250	4814	14365
251	4836	14355
252	4855	14335
253	4873	14314
254	4891	14289
255	4908	14265
256	4926	14242
257	4945	14221
258	4962	14198
259	4983	14184
260	5003	14166
261	5023	14149
262	5040	14125
263	5059	14104
264	5077	14082
265	5097	14065
266	5122	14064
267	5142	14047
268	5160	14022
269	5181	14009
270	5198	13984
271	5216	13961
272	5235	13941
273	5253	13918
274	5274	13904
275	5296	13892
276	5313	13869
277	5331	13846
278	5350	13827
279	5370	13809
280	5387	13785
281	5406	13765
282	5427	13751
283	5446	13730
284	5465	13710
285	5483	13690
286	5502	13670
287	5519	13645
288	5537	13622
289	5553	13595
290	5567	13565
291	5583	13537
292	5599	13511
293	5616	13486
294	5633	13462
295	5650	13438
296	5667	13415
297	5683	13387
298	5697	13357
299	5712	13328
300	5729	13306
301	5747	13284
302	5764	13260
303	5781	13236
304	5797	13210
305	5813	13184
306	5830	13161
307	5848	13140
308	5864	13114
309	5881	13091
310	5902	13075
311	5921	13057
312	5938	13033
313	5955	13010
314	5974	12992
315	5993	12974
316	6013	12957
317	6035	12945
318	6053	12923
319	6070	12898
320	6086	12874
321	6106	12857
322	6123	12834
323	6143	12817
324	6161	12797
325	6182	12781
326	6199	12760
327	6218	12740
328	6237	12721
329	6256	12701
330	6274	12682
331	6294	12665
332	6313	12645
333	6330	12622
334	6348	12602
335	6368	12585
336	6387	12566
337	6405	12545
338	6424	12525
339	6445	12512
340	6465	12494
341	6485	12478
342	6505	12460
343	6525	12444
344	6545	12426
345	6564	12407
346	6584	12391
347	6604	12374
348	6626	12359
349	6643	12338
350	6663	12320
351	6680	12298
352	6699	12278
353	6717	12258
354	6734	12235
355	6753	12216
356	6775	12203
357	6793	12182
358	6809	12158
359	6827	12138
360	6845	12116
361	6863	12096
362	6882	12077
363	6900	12056
364	6917	12035
365	6937	12018
366	6954	11994
367	6968	11968
368	6989	11951
369	7005	11928
370	7023	11907
371	7039	11883
372	7058	11865
373	7077	11845
374	7098	11830
375	7118	11814
376	7138	11796
377	7158	11778
378	7189	11779
379	7214	11770
380	7238	11760
381	7267	11756
382	7297	11755
383	7321	11744
384	7342	11729
385	7369	11723
386	7390	11706
387	7448	11747
388	7477	11744
389	7516	11755
390	7537	11739
391	7564	11732
392	7586	11717
393	7605	11698
394	7630	11686
395	7652	11672
396	7673	11654
397	7696	11640
398	7718	11625
399	7742	11613
400	7761	11593
401	7780	11573
402	7799	11553
403	7820	11537
404	7851	11534
405	7880	11529
406	7914	11531
407	7942	11524
408	7966	11511
409	7999	11510
410	8024	11500
411	8047	11485
412	8066	11465
413	8089	11450
414	8109	11431
415	8129	11412
416	8148	11392
417	8170	11376
418	8187	11353
419	8203	11329
420	8221	11307
421	8240	11286
422	8260	11267
423	8280	11248
424	8307	11240
425	8336	11232
426	8363	11222
427	8393	11217
428	8426	11215
429	8459	11213
430	8493	11212
431	8522	11205
432	8544	11189
433	8574	11182
434	8597	11167
435	8619	11150
436	8642	11134
437	8666	11120
438	8685	11099
439	8705	11079
440	8722	11056
441	8740	11034
442	8757	11011
443	8774	10988
444	8796	10971
445	8813	10947
446	8830	10924
447	8944	11020
448	8968	11006
449	8993	10992
450	9011	10970
451	9027	10944
452	9044	10921
453	9062	10898
454	9077	10873
455	9093	10848
456	9109	10824
457	9127	10801
458	9142	10775
459	9159	10752
460	9175	10728
461	9193	10705
462	9212	10684
463	9230	10663
464	9249	10641
465	9270	10623
466	9301	10615
467	9329	10605
468	9350	10586
469	9378	10576
470	9399	10557
471	9424	10542
472	9445	10523
473	9466	10504
474	9490	10488
475	9514	10473
476	9531	10451
477	9549	10428
478	9566	10405
479	9582	10381
480	9598	10356
481	9614	10333
482	9631	10309
483	9649	10287
484	9664	10262
485	9683	10241
486	9738	10258
487	9763	10243
488	9779	10219
489	9794	10194
490	9811	10171
491	9828	10148
492	9844	10123
493	9857	10097
494	9872	10072
495	9889	10049
496	9904	10024
497	9926	10006
498	9947	9987
499	9964	9964
500	9980	9940
501	9996	9916
502	10012	9893
503	10040	9881
504	10106	9906
505	10165	9924
506	10195	9913
507	10230	9908
508	10270	9907
509	10330	9925
510	10369	9923
511	10403	9915
512	10432	9903
513	10454	9884
514	10478	9868
515	10515	9863
516	10541	9847
517	10556	9822
518	10585	9810
519	10607	9791
520	10625	9768
521	10641	9744
522	10657	9720
523	10673	9695
524	10689	9671
525	10705	9646
526	10720	9622
527	10738	9599
528	10758	9578
529	10794	9572
530	10811	9549
531	10846	9541
532	10885	9537
533	10917	9527
534	10941	9510
535	10988	9512
536	11013	9495
537	11033	9474
538	11051	9452
539	11069	9429
540	11082	9403
541	11098	9378
542	11113	9353
543	11127	9327
544	11143	9303
545	11158	9278
546	11170	9251
547	11186	9226
548	11203	9203
549	11220	9180
550	11235	9155
551	11251	9131
552	11285	9122
553	11311	9106
554	11332	9086
555	11356	9069
556	11374	9046
557	11392	9024
558	11407	8999
559	11423	8975
560	11441	8953
561	11458	8930
562	11478	8909
563	11495	8886
564	11510	8862
565	11526	8838
566	11564	8831
567	11600	8823
568	11622	8803
569	11650	8788
570	11667	8766
571	11703	8757
572	11726	8738
573	11748	8719
574	11772	8701
575	11793	8681
576	11811	8658
577	11825	8634
578	11842	8610
579	11860	8588
580	11875	8564
581	11890	8540
582	11908	8517
583	11924	8494
584	11940	8470
585	11955	8446
586	11975	8425
587	12093	8473
588	12140	8471
589	12168	8455
590	12193	8438
591	12217	8420
592	12243	8403
593	12273	8388
594	12296	8370
595	12326	8355
596	12407	8375
597	12535	8426
598	12628	8453
599	12941	8627
600	13004	8633
601	13071	8641
602	13129	8644
603	13217	8665
604	13279	8670
605	13343	8675
606	13391	8670
607	13439	8665
608	13501	8668
609	13542	8658
610	13633	8679
611	13693	8681
612	13748	8679
613	13811	8682
614	13909	8707
615	13938	8689
616	13969	8671
617	13995	8651
618	14023	8631
619	14051	8612
620	14075	8590
621	14106	8572
622	14137	8554
623	14169	8538
624	14200	8520
625	14234	8504
626	14267	8487
627	14303	8472
628	14331	8453
629	14367	8438
630	14394	8417
631	14421	8397
632	14453	8380
633	14484	8361
634	14517	8344
635	14551	8328
636	14584	8310
637	14613	8291
638	14648	8275
639	14679	8257
640	14716	8241
641	14751	8225
642	14787	8209
643	14813	8189
644	14839	8167
645	14877	8152
646	14910	8135
647	14943	8117
648	14975	8099
649	15010	8082
650	15042	8064
651	15080	8049
652	15109	8029
653	15139	8009
654	15180	7995
655	15214	7978
656	15247	7960
657	15290	7947
658	15326	7930
659	15357	7911
660	15378	7887
661	15410	7868
662	15443	7849
663	15473	7829
664	15498	7807
665	15525	7785
666	15565	7771
667	15596	7751
668	15626	7731
669	15654	7710
670	15687	7691
671	15720	7673
672	15754	7654
673	15786	7635
674	15812	7613
675	15845	7594
676	15876	7574
677	15910	7556
678	15943	7537
679	15978	7519
680	16015	7502
681	16042	7480
682	16070	7458
683	16095	7435
684	16131	7418
685	16159	7396
686	16200	7381
687	16237	7363
688	16269	7343
689	16301	7324
690	16342	7307
691	16381	7291
692	16411	7270
693	16446	7251
694	16469	7227
695	16495	7204
696	16528	7185
697	16552	7161
698	16579	7139
699	16612	7119
700	16646	7100
701	16678	7080
702	16721	7064
703	16765	7049
704	16803	7031
705	16833	7010
706	16863	6988
707	16895	6968
708	16933	6950
709	16964	6929
710	16997	6908
711	17032	6889
712	17070	6871
713	17097	6848
714	17131	6828
715	17168	6809
716	17191	6785
717	17224	6764
718	17258	6744
719	17297	6726
720	17327	6704
721	17356	6682
722	17394	6664
723	17422	6641
724	17453	6620
725	17477	6596
726	17504	6573
727	17538	6552
728	17566	6530
729	17597	6508
730	17622	6484
731	17650	6462
732	17676	6438
733	17702	6415
734	17736	6394
735	17768	6373
736	17800	6351
737	17829	6329
738	17863	6308
739	17888	6285
740	17923	6264
741	17950	6241
742	17982	6220
743	18014	6198
744	18046	6176
745	18079	6155
746	18109	6133
747	18142	6112
748	18168	6088
749	18197	6065
750	18228	6043
751	18259	6021
752	18292	6000
753	18327	5979
754	18361	5958
755	18395	5937
756	18424	5914
757	18451	5890
758	18485	5869
759	18520	5848
760	18549	5825
761	18584	5804
762	18611	5780
763	18644	5759
764	18676	5737
765	18710	5715
766	18742	5693
767	18776	5672
768	18809	5650
769	18841	5627
770	18874	5605
771	18908	5584
772	18939	5561
